Code,Scheme NAV Name,mf,tp
120847,quant Tax Plan - Growth Option - Direct Plan,13.0,1.0
100176,quant Small Cap Fund - IDCW Option - Regular Plan,13.0,1.0
100177,quant Small Cap Fund - Growth - Regular Plan,13.0,1.0
120827,quant Small Cap Fund - IDCW Option - Direct Plan,13.0,1.0
120828,quant Small Cap Fund - Growth Option - Direct Plan,13.0,1.0
100218,JM Large Cap Fund (Regular) - IDCW ,16.0,1.0
100219,JM Large Cap Fund (Regular) - Growth Option,16.0,1.0
134956,JM Large Cap Fund (Direct) - Monthly IDCW ,16.0,1.0
134957,JM Large Cap Fund (Direct) - Half Yearly IDCW ,16.0,1.0
134958,JM Large Cap Fund (Direct) - Annual IDCW,16.0,1.0
134959,JM Large Cap Fund (Regular) - Monthly IDCW,16.0,1.0
134960,JM Large Cap Fund (Direct) - Quarterly IDCW,16.0,1.0
134961,JM Large Cap Fund (Regular) - Annual IDCW,16.0,1.0
134954,JM Large Cap Fund (Regular) - Quarterly IDCW,16.0,1.0
134955,JM Large Cap Fund (Regular) - Half Yearly IDCW,16.0,1.0
120489,JM Large Cap Fund (Direct) - IDCW,16.0,1.0
120490,JM Large Cap Fund (Direct) - Growth Option,16.0,1.0
100220,JM Equity Hybrid Fund (Regular) - IDCW ,16.0,1.0
100221,JM Equity Hybrid Fund (Regular) -Growth Option,16.0,1.0
133407,JM Equity Hybrid Fund (Regular) - Annual Bonus Option - Principal Units,16.0,1.0
133408,JM Equity Hybrid Fund (Regular) - Half Yearly IDCW ,16.0,1.0
133409,JM Equity Hybrid Fund (Direct) - Half Yearly Bonus Option - Principal Units,16.0,1.0
133410,JM Equity Hybrid Fund (Regular) - Quarterly Bonus Option - Principal Units,16.0,1.0
133411,JM Equity Hybrid Fund (Direct) - Quarterly Bonus Option - Principal Units,16.0,1.0
133412,JM Equity Hybrid Fund (Direct) - Monthly IDCW,16.0,1.0
133401,JM Equity Hybrid Fund (Direct) - Bonus Option - Principal Units,16.0,1.0
133402,JM Equity Hybrid Fund (Direct) - Half Yearly IDCW,16.0,1.0
133403,JM Equity Hybrid Fund (Regular) - Half Yearly Bonus Option - Principal Units,16.0,1.0
133404,JM Equity Hybrid Fund (Regular) - Monthly IDCW,16.0,1.0
133405,JM Equity Hybrid Fund (Regular) - Quarterly IDCW,16.0,1.0
133406,JM Equity Hybrid Fund (Direct) - Quarterly IDCW,16.0,1.0
120483,JM Equity Hybrid Fund (Direct) - IDCW,16.0,1.0
120484,JM Equity Hybrid Fund (Direct) - Growth Option,16.0,1.0
130904,JM Equity Hybrid Fund (Direct) - Annual Bonus Option,16.0,1.0
131476,JM Equity Hybrid Fund (Regular) - Annual IDCW,16.0,1.0
131477,JM Equity Hybrid Fund (Direct) - Annual IDCW,16.0,1.0
133400,JM Equity Hybrid Fund (Regular) - Bonus Option - Principal Units,16.0,1.0
100222,JM Income Fund (Regular) - Quarterly IDCW ,16.0,1.0
100223,JM Income Fund (Regular) - Growth Option,16.0,1.0
120428,JM Income Fund (Direct) - Bonus Option - Principal Units,16.0,1.0
120430,JM Income Fund (Direct) - Growth Option,16.0,1.0
120431,JM Income Fund (Direct) - Quarterly IDCW,16.0,1.0
100233,JM Liquid Fund (Regular) - Weekly IDCW,16.0,1.0
100234,JM Liquid Fund - Growth Option,16.0,1.0
148413,JM Liquid Fund - Unclaimed Brokerage I.E.F. (Direct) - Growth Plan,16.0,1.0
148414,JM Liquid Fund - Unclaimed Application Refund Amount I.E.F. (Direct) - Growth Plan,16.0,1.0
148415,JM Liquid Fund - Withheld Brokerage I.E.F. (Direct) - Growth Plan,16.0,1.0
120410,JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units,16.0,1.0
120411,JM Liquid Fund (Direct) - Daily IDCW,16.0,1.0
139257,JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan,16.0,1.0
139258,JM Liquid Fund Unclaimed Dividend (Direct) Growth Plan,16.0,1.0
139259,JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan,16.0,1.0
139260,JM Liquid Fund Unclaimed Dividend IEF (Direct) Growth Plan,16.0,1.0
100244,JM Liquid Fund (Regular) - Quarterly IDCW,16.0,1.0
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,16.0,1.0
120406,JM Liquid Fund (Direct) - Growth Option,16.0,1.0
120407,JM Liquid Fund (Direct) - Weekly IDCW,16.0,1.0
120408,JM Liquid Fund (Direct) - Quarterly IDCW,16.0,1.0
100254,JM Value Fund (Regular) - Growth Option,16.0,1.0
106168,JM Value Fund (Regular) - IDCW,16.0,1.0
120485,JM Value Fund (Direct) - IDCW,16.0,1.0
120486,JM Value Fund (Direct) - Growth Option,16.0,1.0
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,17.0,1.0
100265,Kotak Gilt-Investment Regular-Growth,17.0,1.0
100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,17.0,1.0
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,17.0,1.0
119757,Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct,17.0,1.0
119758,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option - Direct,17.0,1.0
119759,Kotak Gilt-Investment Regular-Growth - Direct,17.0,1.0
100286,Kotak Equity Hybrid - Payout of Income Distribution cum capital withdrawal option,17.0,1.0
119767,Kotak Equity Hybrid - Payout of Income Distribution cum  capital withdrawal option - Direct,17.0,1.0
133035,Kotak Equity Hybrid - Growth - Direct,17.0,1.0
133036,Kotak Equity Hybrid - Growth,17.0,1.0
119734,Kotak Bond - Annual Payout of Income Distribution cum capital withdrawal option - Direct,17.0,1.0
119735,Kotak Bond - Growth - Direct,17.0,1.0
119736,Kotak Bond - Quaterly Payout of Income Distribution cum capital withdrawal option - Direct,17.0,1.0
100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,17.0,1.0
100299,Kotak Bond Regular Plan Growth,17.0,1.0
100300,Kotak Bond Regular Plan Annual Payout of Income Distribution cum capital withdrawal option,17.0,1.0
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,18.0,1.0
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,18.0,1.0
120263,LIC MF Flexi Cap Fund-Direct Plan-IDCW,18.0,1.0
120264,LIC MF Flexi Cap Fund-Direct Plan-Growth,18.0,1.0
100314,LIC MF Bond Fund-Regular Plan-IDCW,18.0,1.0
100315,LIC MF Bond Fund-Regular Plan-Growth,18.0,1.0
120278,LIC MF Bond Fund-Direct Plan-IDCW,18.0,1.0
120279,LIC MF Bond Fund-Direct Plan-Growth,18.0,1.0
100316,LIC MF Government Securities Fund-Regular Plan-IDCW,18.0,1.0
100317,LIC MF Government Securities Fund-Regular Plan-Growth,18.0,1.0
100318,LIC MF Government Securities Fund-PF Plan-IDCW,18.0,1.0
100319,LIC MF Government Securities Fund-PF Plan-Growth,18.0,1.0
120282,LIC MF Government Securities Fund-Direct Plan-Growth,18.0,1.0
120283,LIC MF Government Securities Fund-Direct Plan-IDCW,18.0,1.0
100321,LIC MF Equity Hybrid Fund-Regular Plan-IDCW,18.0,1.0
100323,LIC MF Equity Hybrid Fund-Regular Plan-Growth,18.0,1.0
120260,LIC MF Equity Hybrid Fund-Direct Plan-IDCW,18.0,1.0
120261,LIC MF Equity Hybrid Fund-Direct Plan-Growth,18.0,1.0
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,18.0,1.0
120259,LIC MF ULIS (5 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,18.0,1.0
134846,LIC MF ULIS (10 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,18.0,1.0
134847,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134863,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment,18.0,1.0
135983,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,18.0,1.0
135977,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,18.0,1.0
135978,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,18.0,1.0
135979,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment,18.0,1.0
135980,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Direct Plan-IDCW Reinvestment,18.0,1.0
135981,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Quarterly)-Regular Plan-IDCW Reinvestment,18.0,1.0
135982,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Quarterly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134883,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134884,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134885,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134886,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134887,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,18.0,1.0
135976,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Quarterly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134877,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134878,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134879,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134880,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134881,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Monthly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134882,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134871,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134872,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Monthly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134873,LIC MF ULIS (15 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134874,LIC MF ULIS (15Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134875,LIC MF ULIS (10 Yrs. Single Premium)-Direct Plan-IDCW Reinvestment,18.0,1.0
134876,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Monthly)-Direct Plan-IDCW Reinvestment,18.0,1.0
134864,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134865,LIC MF ULIS (10 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134867,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134868,LIC MF ULIS (10 Yrs. Regular Premium Uniform Cover Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134869,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Monthly)-Regular Plan-IDCW Reinvestment,18.0,1.0
134870,LIC MF ULIS (15 Yrs. Regular Premium Reducing Cover Half-Yearly)-Regular Plan-IDCW Reinvestment,18.0,1.0
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,18.0,1.0
106871,LIC MF Large Cap Fund-Regular Plan-Growth,18.0,1.0
120267,LIC MF Large Cap Fund-Direct Plan-Growth,18.0,1.0
120268,LIC MF Large Cap Fund-Direct Plan-IDCW,18.0,1.0
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,20.0,1.0
100349,ICICI Prudential Large & Mid Cap Fund - Growth,20.0,1.0
120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,20.0,1.0
120597,ICICI Prudential Large & Mid Cap Fund - Direct Plan - IDCW,20.0,1.0
100351,ICICI Prudential FMCG Fund - IDCW,20.0,1.0
100352,ICICI Prudential FMCG Fund - Growth,20.0,1.0
120587,ICICI Prudential FMCG Fund - Direct Plan -  Growth,20.0,1.0
120588,ICICI Prudential FMCG Fund - Direct Plan -  IDCW,20.0,1.0
100353,ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW,20.0,1.0
100354,ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,20.0,1.0
120592,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  Growth,20.0,1.0
120593,ICICI Prudential Long Term Equity Fund (Tax Saving) - Direct Plan -  IDCW,20.0,1.0
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,20.0,1.0
100356,ICICI Prudential Equity & Debt Fund - Growth,20.0,1.0
120251,ICICI Prudential Equity & Debt Fund - Direct Plan - Growth,20.0,1.0
120252,ICICI Prudential Equity & Debt Fund - Direct Plan - Monthly IDCW,20.0,1.0
131452,ICICI Prudential Equity & Debt Fund - Half Yearly IDCW,20.0,1.0
131453,ICICI Prudential Equity & Debt Fund - Direct Plan - Half Yearly IDCW,20.0,1.0
136113,ICICI Prudential Equity & Debt Fund - Annual IDCW,20.0,1.0
136114,ICICI Prudential Equity & Debt Fund - Direct Plan - Annual IDCW,20.0,1.0
100357,ICICI Prudential Liquid Fund -Quarterly IDCW,20.0,1.0
100363,ICICI Prudential Technology Fund - Growth,20.0,1.0
115294,ICICI Prudential Technology Fund - IDCW,20.0,1.0
120594,ICICI Prudential Technology Fund - Direct Plan -  Growth,20.0,1.0
120595,ICICI Prudential Technology Fund - Direct Plan -  IDCW,20.0,1.0
100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,20.0,1.0
100365,ICICI Prudential Long Term Bond Fund - Growth,20.0,1.0
100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,20.0,1.0
120743,ICICI Prudential Long Term Bond Fund - Direct Plan - Growth,20.0,1.0
120747,ICICI Prudential Long Term Bond Fund - Direct Plan - Quarterly IDCW,20.0,1.0
120748,ICICI Prudential Long Term Bond Fund - Direct Plan - Half Yearly IDCW,20.0,1.0
131622,ICICI Prudential Long Term Bond Fund Direct Plan - Annual IDCW,20.0,1.0
131623,ICICI Prudential Long Term Bond Fund - Annual IDCW,20.0,1.0
100368,ICICI Prudential Gilt Fund - IDCW,20.0,1.0
100369,ICICI Prudential Gilt Fund - Growth,20.0,1.0
120589,ICICI Prudential Gilt Fund - Direct Plan - IDCW,20.0,1.0
120590,ICICI Prudential Gilt Fund - Direct Plan - Growth,20.0,1.0
100375,NIPPON INDIA GROWTH FUND - IDCW Option,21.0,1.0
100376,Nippon India Growth Fund-Growth Plan-Bonus Option,21.0,1.0
100377,Nippon India Growth Fund-Growth Plan-Growth Option,21.0,1.0
106260,NIPPON INDIA GROWTH FUND - INSTITUTIONAL Plan - IDCW Option,21.0,1.0
118665,Nippon India Growth Fund - Direct Plan Growth Plan - Bonus Option,21.0,1.0
118666,NIPPON INDIA GROWTH FUND - DIRECT Plan - IDCW Option,21.0,1.0
118668,Nippon India Growth Fund - Direct Plan Growth Plan - Growth Option,21.0,1.0
100378,NIPPON INDIA VISION FUND - IDCW Option,21.0,1.0
100379,Nippon India Vision Fund-GROWTH PLAN-Bonus Option,21.0,1.0
100380,Nippon India Vision Fund-GROWTH PLAN-Growth Option,21.0,1.0
118675,Nippon India Vision Fund - Direct Plan Growth Plan - Bonus Option,21.0,1.0
118676,NIPPON INDIA VISION FUND - DIRECT Plan - IDCW Option,21.0,1.0
118678,Nippon India Vision Fund - Direct Plan Growth Plan - Growth Option,21.0,1.0
100383,NIPPON INDIA INCOME FUND - MONTHLY IDCW Option,21.0,1.0
100384,NIPPON INDIA INCOME FUND - QUARTERLY IDCW Option,21.0,1.0
100385,NIPPON INDIA INCOME FUND - HALF YEARLY IDCW Option,21.0,1.0
100386,NIPPON INDIA INCOME FUND - ANNUAL IDCW Option,21.0,1.0
100387,Nippon India Income Fund - Growth Plan Growth Option,21.0,1.0
100388,Nippon India Income Fund - Growth Plan Bonus Option,21.0,1.0
118687,Nippon India Income Fund - Direct Plan Growth Plan - Growth Option,21.0,1.0
118679,Nippon India Income Fund - Direct Plan Growth Plan-Bonus Option,21.0,1.0
118680,NIPPON INDIA INCOME FUND - Direct Plan - ANNUAL IDCW Option,21.0,1.0
118681,NIPPON INDIA INCOME FUND - Direct Plan - HALF YEARLY IDCW Option,21.0,1.0
118683,NIPPON INDIA INCOME FUND - Direct Plan - MONTHLY IDCW Option,21.0,1.0
118684,NIPPON INDIA INCOME FUND - Direct Plan - QUARTERLY IDCW Option,21.0,1.0
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,26.0,1.0
111640,Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,26.0,1.0
118883,Taurus Flexi Cap Fund - Direct Plan - Growth,26.0,1.0
118884,Taurus Flexi Cap Fund - Direct Plan -  Payout of Income Distribution cum Capital Withdrawal option,26.0,1.0
100477,Taurus Discovery (Midcap) Fund - Regular Plan - Growth,26.0,1.0
111642,Taurus Discovery (Midcap) Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,26.0,1.0
118872,Taurus Discovery (Midcap) Fund - Direct Plan - Growth,26.0,1.0
118873,Taurus Discovery (Midcap) Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,26.0,1.0
100480,Taurus Taxshield - Regular Plan - Growth,26.0,1.0
108402,Taurus Taxshield - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,26.0,1.0
118866,Taurus Taxshield - Direct Plan - Growth,26.0,1.0
118867,Taurus Taxshield - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,26.0,1.0
100484,Franklin India Index Fund- Nifty Plan - Growth,27.0,1.0
105067,Franklin India INDEX FUND NIFTY PLAN - IDCW ,27.0,1.0
118580,Franklin India INDEX FUND NIFTY PLAN - Direct - IDCW ,27.0,1.0
118581,Franklin India INDEX FUND NIFTY PLAN - Direct - Growth,27.0,1.0
100493,Franklin India Government Securities Fund - Growth,27.0,1.0
100494,Franklin India Government Securities Fund - IDCW ,27.0,1.0
118497,Franklin India Government Securities Fund - Direct - IDCW ,27.0,1.0
118498,Franklin India Government Securities Fund - Direct - Growth,27.0,1.0
100496,Templeton India Value Fund - Growth Plan,27.0,1.0
100497,Templeton India Value Fund - IDCW ,27.0,1.0
118493,Templeton India Value Fund - Direct - IDCW ,27.0,1.0
118494,Templeton India Value Fund - Direct - Growth,27.0,1.0
100498,Franklin India Dynamic Accrual Fund - IDCW ,27.0,1.0
100499,Franklin India Dynamic Accrual Fund-Growth,27.0,1.0
118495,Franklin India Dynamic Accrual Fund - Direct - Growth,27.0,1.0
118496,Franklin India Dynamic Accrual Fund - Direct - IDCW ,27.0,1.0
147987,Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023 (P/C 03Sep2021)-Growth Plan,27.0,1.0
147988,Franklin India Dynamic Accrual Fund- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023 (P/C 03Sep2021)-Direct-Growth Plan,27.0,1.0
148307,Franklin India Dynamic Accrual Fund - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Growth Plan,27.0,1.0
